latitude,longitude,elevation,timezone,country,state,county
5.73,95.02,12,7,Indonesia,b'Aceh',b'Aceh Besar'
5.73,95.06,98,7,Indonesia,b'Aceh',b'Aceh Besar'
5.69,95.06,208,7,Indonesia,b'Aceh',b'Aceh Besar'
5.65,95.06,21,7,Indonesia,b'Aceh',b'Aceh Besar'
5.61,95.06,12,7,Indonesia,b'Aceh',b'Aceh Besar'
5.69,95.1,129,7,Indonesia,b'Aceh',b'Aceh Besar'
5.61,95.14,64,7,Indonesia,b'Aceh',b'Aceh Besar'
5.61,95.18,29,7,Indonesia,b'Aceh',b'Aceh Besar'
5.89,95.22,55,7,Indonesia,b'Aceh',b'Sabang'
5.53,95.22,128,7,Indonesia,b'Aceh',b'Aceh Besar'
5.29,95.22,28,7,Indonesia,b'Aceh',b'Aceh Besar'
5.85,95.26,86,7,Indonesia,b'Aceh',b'Sabang'
5.53,95.26,50,7,Indonesia,b'Aceh',b'Aceh Besar'
5.49,95.26,18,7,Indonesia,b'Aceh',b'Aceh Besar'
5.45,95.26,111,7,Indonesia,b'Aceh',b'Aceh Besar'
5.41,95.26,75,7,Indonesia,b'Aceh',b'Aceh Besar'
5.37,95.26,29,7,Indonesia,b'Aceh',b'Aceh Besar'
5.33,95.26,167,7,Indonesia,b'Aceh',b'Aceh Besar'
5.29,95.26,136,7,Indonesia,b'Aceh',b'Aceh Besar'
5.25,95.26,59,7,Indonesia,b'Aceh',b'Aceh Besar'
5.81,95.3,171,7,Indonesia,b'Aceh',b'Sabang'
5.57,95.3,0,7,Indonesia,b'Aceh',b'Banda Aceh'
5.53,95.3,6,7,Indonesia,b'Aceh',b'Banda Aceh'
5.49,95.3,301,7,Indonesia,b'Aceh',b'Aceh Besar'
5.45,95.3,480,7,Indonesia,b'Aceh',b'Aceh Besar'
5.41,95.3,464,7,Indonesia,b'Aceh',b'Aceh Besar'
5.37,95.3,357,7,Indonesia,b'Aceh',b'Aceh Besar'
5.33,95.3,416,7,Indonesia,b'Aceh',b'Aceh Besar'
5.29,95.3,516,7,Indonesia,b'Aceh',b'Aceh Besar'
5.25,95.3,428,7,Indonesia,b'Aceh',b'Aceh Besar'
5.21,95.3,197,7,Indonesia,b'Aceh',b'Aceh Besar'
5.89,95.34,10,7,Indonesia,b'Aceh',b'Sabang'
5.85,95.34,107,7,Indonesia,b'Aceh',b'Sabang'
5.81,95.34,173,7,Indonesia,b'Aceh',b'Sabang'
5.57,95.34,3,7,Indonesia,b'Aceh',b'Banda Aceh'
5.53,95.34,9,7,Indonesia,b'Aceh',b'Banda Aceh'
5.49,95.34,111,7,Indonesia,b'Aceh',b'Aceh Besar'
5.45,95.34,595,7,Indonesia,b'Aceh',b'Aceh Besar'
5.41,95.34,994,7,Indonesia,b'Aceh',b'Aceh Besar'
5.37,95.34,1068,7,Indonesia,b'Aceh',b'Aceh Besar'
5.33,95.34,358,7,Indonesia,b'Aceh',b'Aceh Besar'
5.29,95.34,861,7,Indonesia,b'Aceh',b'Aceh Besar'
5.25,95.34,612,7,Indonesia,b'Aceh',b'Aceh Besar'
5.21,95.34,628,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.17,95.34,288,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.13,95.34,26,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.09,95.34,19,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.61,95.38,5,7,Indonesia,b'Aceh',b'Aceh Besar'
5.57,95.38,8,7,Indonesia,b'Aceh',b'Aceh Besar'
5.53,95.38,12,7,Indonesia,b'Aceh',b'Aceh Besar'
5.49,95.38,19,7,Indonesia,b'Aceh',b'Aceh Besar'
5.45,95.38,27,7,Indonesia,b'Aceh',b'Aceh Besar'
5.41,95.38,120,7,Indonesia,b'Aceh',b'Aceh Besar'
5.37,95.38,330,7,Indonesia,b'Aceh',b'Aceh Besar'
5.33,95.38,481,7,Indonesia,b'Aceh',b'Aceh Besar'
5.29,95.38,939,7,Indonesia,b'Aceh',b'Aceh Besar'
5.25,95.38,1059,7,Indonesia,b'Aceh',b'Aceh Besar'
5.21,95.38,1234,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.17,95.38,472,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.13,95.38,89,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.09,95.38,74,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.05,95.38,122,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.01,95.38,62,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.93,95.38,124,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.65,95.42,32,7,Indonesia,b'Aceh',b'Aceh Besar'
5.61,95.42,174,7,Indonesia,b'Aceh',b'Aceh Besar'
5.57,95.42,104,7,Indonesia,b'Aceh',b'Aceh Besar'
5.53,95.42,41,7,Indonesia,b'Aceh',b'Aceh Besar'
5.49,95.42,26,7,Indonesia,b'Aceh',b'Aceh Besar'
5.45,95.42,24,7,Indonesia,b'Aceh',b'Aceh Besar'
5.41,95.42,44,7,Indonesia,b'Aceh',b'Aceh Besar'
5.37,95.42,92,7,Indonesia,b'Aceh',b'Aceh Besar'
5.33,95.42,196,7,Indonesia,b'Aceh',b'Aceh Besar'
5.29,95.42,282,7,Indonesia,b'Aceh',b'Aceh Besar'
5.25,95.42,459,7,Indonesia,b'Aceh',b'Aceh Besar'
5.21,95.42,878,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.17,95.42,361,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.13,95.42,140,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.09,95.42,211,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.05,95.42,155,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.01,95.42,287,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.97,95.42,499,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.93,95.42,268,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.89,95.42,77,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.85,95.42,8,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.61,95.46,168,7,Indonesia,b'Aceh',b'Aceh Besar'
5.57,95.46,316,7,Indonesia,b'Aceh',b'Aceh Besar'
5.53,95.46,223,7,Indonesia,b'Aceh',b'Aceh Besar'
5.49,95.46,48,7,Indonesia,b'Aceh',b'Aceh Besar'
5.45,95.46,35,7,Indonesia,b'Aceh',b'Aceh Besar'
5.41,95.46,36,7,Indonesia,b'Aceh',b'Aceh Besar'
5.37,95.46,55,7,Indonesia,b'Aceh',b'Aceh Besar'
5.33,95.46,121,7,Indonesia,b'Aceh',b'Aceh Besar'
5.29,95.46,247,7,Indonesia,b'Aceh',b'Aceh Besar'
5.25,95.46,696,7,Indonesia,b'Aceh',b'Aceh Besar'
5.21,95.46,807,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.17,95.46,453,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.13,95.46,183,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.09,95.46,353,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.05,95.46,307,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.01,95.46,579,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.97,95.46,639,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.93,95.46,346,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.89,95.46,122,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.85,95.46,11,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.81,95.46,17,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.57,95.5,106,7,Indonesia,b'Aceh',b'Aceh Besar'
5.53,95.5,294,7,Indonesia,b'Aceh',b'Aceh Besar'
5.49,95.5,140,7,Indonesia,b'Aceh',b'Aceh Besar'
5.45,95.5,78,7,Indonesia,b'Aceh',b'Aceh Besar'
5.41,95.5,37,7,Indonesia,b'Aceh',b'Aceh Besar'
5.37,95.5,49,7,Indonesia,b'Aceh',b'Aceh Besar'
5.33,95.5,72,7,Indonesia,b'Aceh',b'Aceh Besar'
5.29,95.5,207,7,Indonesia,b'Aceh',b'Aceh Besar'
5.25,95.5,704,7,Indonesia,b'Aceh',b'Aceh Besar'
5.21,95.5,1416,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.17,95.5,585,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.13,95.5,444,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.09,95.5,573,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.05,95.5,607,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.01,95.5,676,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.97,95.5,409,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.93,95.5,167,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.89,95.5,46,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.85,95.5,23,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.81,95.5,17,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.77,95.5,25,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.61,95.54,9,7,Indonesia,b'Aceh',b'Aceh Besar'
5.57,95.54,131,7,Indonesia,b'Aceh',b'Aceh Besar'
5.53,95.54,136,7,Indonesia,b'Aceh',b'Aceh Besar'
5.49,95.54,313,7,Indonesia,b'Aceh',b'Aceh Besar'
5.45,95.54,276,7,Indonesia,b'Aceh',b'Aceh Besar'
5.41,95.54,91,7,Indonesia,b'Aceh',b'Aceh Besar'
5.37,95.54,52,7,Indonesia,b'Aceh',b'Aceh Besar'
5.33,95.54,69,7,Indonesia,b'Aceh',b'Aceh Besar'
5.29,95.54,116,7,Indonesia,b'Aceh',b'Aceh Besar'
5.25,95.54,506,7,Indonesia,b'Aceh',b'Aceh Besar'
5.21,95.54,1113,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.17,95.54,466,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.13,95.54,509,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.09,95.54,775,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.05,95.54,929,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.01,95.54,633,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.97,95.54,428,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.93,95.54,195,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.89,95.54,94,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.85,95.54,56,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.81,95.54,40,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.77,95.54,11,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.73,95.54,25,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.69,95.54,86,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.61,95.58,19,7,Indonesia,b'Aceh',b'Aceh Besar'
5.57,95.58,157,7,Indonesia,b'Aceh',b'Aceh Besar'
5.53,95.58,261,7,Indonesia,b'Aceh',b'Aceh Besar'
5.49,95.58,341,7,Indonesia,b'Aceh',b'Aceh Besar'
5.45,95.58,336,7,Indonesia,b'Aceh',b'Aceh Besar'
5.41,95.58,163,7,Indonesia,b'Aceh',b'Aceh Besar'
5.37,95.58,70,7,Indonesia,b'Aceh',b'Aceh Besar'
5.33,95.58,78,7,Indonesia,b'Aceh',b'Aceh Besar'
5.29,95.58,87,7,Indonesia,b'Aceh',b'Aceh Besar'
5.25,95.58,285,7,Indonesia,b'Aceh',b'Aceh Besar'
5.21,95.58,822,7,Indonesia,b'Aceh',b'Aceh Besar'
5.17,95.58,739,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.13,95.58,644,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.09,95.58,708,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.05,95.58,952,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.01,95.58,713,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.97,95.58,616,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.93,95.58,411,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.89,95.58,170,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.85,95.58,86,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.81,95.58,101,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.77,95.58,31,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.73,95.58,26,7,Indonesia,b'Aceh',b'Aceh Jaya'
4.69,95.58,64,7,Indonesia,b'Aceh',b'Aceh Jaya'
5.61,95.62,32,7,Indonesia,b'Aceh',b'Aceh Besar'
5.57,95.62,92,7,Indonesia,b'Aceh',b'Aceh Besar'
