Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,India,IND,34.75,34.86,33.85,33.4,33.01,32.57,32.73,33.27,35.82,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Brazil,BRA,43.49,42.32,41.71,43.62,45.46,45.33,46.95,47.58,50.05,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,South Africa,ZAF,8.49,7.94,7.72,7.73,7.97,8.03,8.07,8.84,9.76,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,China,CHN,11.53,11.47,11.91,12.18,12.6,13.14,13.55,14.33,14.81,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Indonesia,IDN,30.09,30.63,29.29,26.58,27.77,24.88,22.05,19.77,22.01,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,India,IND,1.49820412282441,1.52767440026001,1.64246527737333,1.63132348717228,1.63991401876928,1.70492672078233,1.79559529858433,1.75253436625037,1.57609323191648,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Brazil,BRA,2.2714176835721,2.4134465369818,2.51459195963426,2.36536062099671,2.16125984748939,2.18548661863967,2.06426147881772,2.05077012882977,1.94252335631484,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,South Africa,ZAF,8.03464925875575,8.11643495398564,8.19115252745267,7.60718852417825,7.54458957113285,7.68370781068603,7.66737702463575,7.68890762322173,6.68756314737781,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,China,CHN,7.04520023039603,7.32015492503154,7.30471287157582,7.14513153508327,7.10547993572515,7.22616015441748,7.53319313353674,7.64543578560038,7.75613790659769,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Indonesia,IDN,1.92545004760659,1.77040203245853,1.89142782676209,1.88756448144649,1.84830385185678,1.94857443086369,2.12683683837158,2.24528577070833,2.07165896221472,..,..
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,India,IND,52150000000,59079000000,66931000000,74143000000,..,..,..,..,..,..,..
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,Brazil,BRA,40287000000,46977000000,58221000000,70487000000,..,..,..,..,..,..,..
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,South Africa,ZAF,332000000,383000000,2251000000,4763000000,..,..,..,..,..,..,..
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,China,CHN,132470000000,193807000000,229840000000,283851000000,..,..,..,..,..,..,..
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,Indonesia,IDN,9678000000,9583000000,10987000000,11181000000,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,India,IND,1.31293453813013,1.51627647703985,1.69565959755109,2.09211522716586,1.93736411882895,1.50731583227373,1.55821483904488,1.78482634870199,2.4091359509569,1.4197752763695,1.47530080872515
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Brazil,BRA,3.75496210845041,3.04150922939604,3.57135261306139,3.59214973101965,4.13737853870532,3.33826028428074,4.07748708406928,3.6926733039477,2.55986041877187,2.81513244838555,4.76549737608478
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,South Africa,ZAF,1.06492249485696,2.05358095229684,1.5193274375398,0.438735792056359,0.684612553455795,0.539673956759456,1.37803784399486,1.31677921707608,0.934055029275974,9.70340618474175,2.26545810079827
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,China,CHN,2.82710525795696,3.03985503240276,2.55924764977625,2.19217761574531,1.55563695890012,1.34912371356576,1.69389432987351,1.31071593436329,1.7231756197056,1.93078624097438,1.00297929663148
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Indonesia,IDN,2.30978031844872,2.55135633401058,2.81997260419144,2.29761639371996,0.487372471370864,2.01948919810908,1.81428979355581,2.23336204275065,1.81058402024863,1.78786201340905,1.62446629077971
Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,India,IND,8904400000,2952700000,2816630000,2086940000,1686930000,1311630000,1639510000,856350000,3321000000,1621240000,2503340000
Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,Brazil,BRA,29729630000,9576120000,9440600000,5573180000,14598300000,5813300000,4947340000,6309570000,5899740000,2670270000,5151490000
Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,South Africa,ZAF,5648610000,3941690000,87000000,3906440000,779400000,..,4313240000,..,..,826300000,1843030000
Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,China,CHN,3174900000,3682930000,1647500000,3186650000,3386891000,2950270000,265510000,9710000,838180000,264410000,327400000
Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,Indonesia,IDN,1901000000,1936700000,1690500000,191000000,8068800000,8839500000,3420100000,290000000,..,150000000,..
Urban population growth (annual %),SP.URB.GROW,India,IND,2.47033820164956,2.45726439138516,2.42384462717953,2.39405297719892,2.41309726336112,2.407475136258,2.35916997461045,2.31580198477658,2.26363455707273,2.125468465055,2.02467121722501
